"Symbol","EndDate","TotalRevenue","ROEC"
"000006","2018-12-31","2511844429.3600","0.1527"
"000006","2019-12-31","3731330139.7300","0.1244"
"000006","2020-12-31","2934733294.8900","0.1203"
"000006","2021-12-31","3088570522.7700","0.0691"
"000006","2022-12-31","3699813551.4100","0.0538"
"000007","2000-12-31","52151314.0900","-0.7595"
"000007","2001-12-31","339715057.6900","0.0783"
"000007","2002-12-31","227319830.3400","0.0382"
"000007","2003-12-31","334488384.3100","0.0604"
"000007","2004-12-31","135676188.4800","-0.8589"
"000007","2005-12-31","350588377.2500","0.1011"
"000007","2006-12-31","193741857.5200","-1.5863"
"000007","2007-12-31","185307680.0200","1.9795"
"000007","2008-12-31","158989900.8500",""
"000007","2009-12-31","133311153.1900",""
"000007","2010-12-31","143292091.4700",""
"000007","2011-12-31","165339523.2900","0.0640"
"000007","2012-12-31","312664912.0500","0.0151"
"000007","2013-12-31","214348538.4600","0.0579"
"000007","2014-12-31","198097861.7100","-0.0939"
"000007","2015-12-31","98961463.9900","0.0362"
"000007","2016-12-31","38860398.6100","0.2014"
"000007","2017-12-31","39644011.9500","0.0019"
"000007","2018-12-31","42443842.1000","-0.6712"
"000007","2019-12-31","42020841.8100","0.1092"
"000007","2020-12-31","45146397.4400","-0.8769"
"000007","2021-12-31","178349915.2500","0.4438"
"000007","2022-12-31","220838034.8900","-0.0585"
"000008","2000-12-31","102721874.0000","0.1601"
"000008","2001-12-31","24398690.2700","-2.8936"
"000008","2002-12-31","6735232.7200",""
"000008","2003-12-31","19618612.0700",""
"000008","2004-12-31","29163079.7200","0.7463"
"000008","2005-12-31","40110400.9500","-0.0790"
"000008","2006-12-31","10356390.7100","-0.0252"
"000008","2007-12-31","9905634.8000","0.0232"
"000008","2008-12-31","11431908.7600","0.0102"
"000008","2009-12-31","10092477.1900","0.0043"
"000008","2010-12-31","10436780.0400","0.0120"
"000008","2011-12-31","13980842.1900","-0.0073"
"000008","2012-12-31","331480790.2600","0.1273"
"000008","2013-12-31","304448210.6800","0.0412"
"000008","2014-12-31","307181306.7500","0.0134"
"000008","2015-12-31","1295076096.2100","0.1083"
"000008","2016-12-31","1876006502.0900","0.1169"
"000008","2017-12-31","2330932161.1600","0.1332"
"000008","2018-12-31","2564901269.6200","0.0469"
"000008","2019-12-31","3220142984.6600","0.0611"
"000008","2020-12-31","1917519166.4300","-0.1252"
"000008","2021-12-31","2214804536.9600","-0.2297"
"000008","2022-12-31","1772952858.3200","-0.1726"
"000009","2000-12-31","637505391.1100","0.0388"
"000009","2001-12-31","849414725.3700","0.0425"
"000009","2002-12-31","1018547723.7600","0.0269"
"000009","2003-12-31","1283529374.7200","0.0292"
"000009","2004-12-31","1543917159.1300","0.0367"
"000009","2005-12-31","2054866731.4400","0.0673"
"000009","2006-12-31","2491383744.5000","0.0856"
"000009","2007-12-31","1948492215.2200","0.1530"
"000009","2008-12-31","2892235677.3300","0.1113"
"000009","2009-12-31","3269389382.1200","0.1491"
"000009","2010-12-31","3216777166.9200","0.1318"
"000009","2011-12-31","4065255660.4300","0.0971"
"000009","2012-12-31","4024590406.5800","0.0697"
"000009","2013-12-31","4155024013.8000","0.0911"
"000009","2014-12-31","4311476903.5000","0.0899"
"000009","2015-12-31","4894876340.7200","0.1607"
"000009","2016-12-31","6449201202.2800","0.0571"
"000009","2017-12-31","7070802396.2000","0.0358"
"000009","2018-12-31","11768075485.8800","0.0652"
"000009","2019-12-31","12004379217.0600","0.0673"
"000009","2020-12-31","10663512791.6200","0.0892"
"000009","2021-12-31","17606294335.6300","0.1217"
"000009","2022-12-31","32032835711.6200","0.1431"
"000010","2000-12-31","533285864.2700","0.1434"
"000010","2001-12-31","165533196.7900","0.0182"
"000010","2002-12-31","206081221.6800","0.1381"
"000010","2003-12-31","231855100.6600","0.1151"
"000010","2004-12-31","245685843.5200","0.0298"
"000010","2005-12-31","183132351.7400","-0.3938"
"000010","2006-12-31","98638149.4900","0.1440"
"000010","2007-12-31","129789980.3600","-0.2187"
"000010","2008-12-31","120215888.9700","0.1788"
"000010","2009-12-31","146852497.6400","0.1241"
"000010","2010-12-31","151867806.2900","0.0453"
"000010","2011-12-31","184058441.1200","0.0935"
"000010","2012-12-31","188168272.2500","0.0380"
"000010","2013-12-31","362384421.7700","0.0101"
"000010","2014-12-31","230299675.3500","-0.1244"
"000010","2015-12-31","957379300.7100","0.0147"
"000010","2016-12-31","1053529409.9200","0.0178"
"000010","2017-12-31","757885725.5300","-0.6196"
"000010","2018-12-31","345410350.3500","-0.8207"
"000010","2019-12-31","1893071131.2100","0.1876"
"000010","2020-12-31","1408542234.9500","0.0973"
"000010","2021-12-31","1756906765.3400","0.0469"
"000010","2022-12-31","613053300.7800","-0.7825"
"000011","2000-12-31","658120332.8500","0.2085"
"000011","2001-12-31","1021639372.6400","0.2901"
"000011","2002-12-31","781284955.4300","0.1070"
"000011","2003-12-31","1079474318.9100","0.1896"
"000011","2004-12-31","1326289977.7500","0.1737"
"000011","2005-12-31","963481024.0900","0.1362"
"000011","2006-12-31","311948669.8600","-0.0746"
"000011","2007-12-31","332985105.2900","-0.0476"
"000011","2008-12-31","623465139.6300","0.0173"
"000011","2009-12-31","845366939.6900","0.1571"
"000011","2010-12-31","993175350.3800","0.2277"
"000011","2011-12-31","1408565307.3200","0.2567"
"000011","2012-12-31","1861298830.9900","0.2845"
"000011","2013-12-31","1619227227.6000","0.1819"
"000011","2014-12-31","1268451451.8600","0.2153"
"000011","2015-12-31","1077418500.9300","0.0751"
"000011","2016-12-31","2059204077.1800","0.1573"
"000011","2017-12-31","2904690690.5300","0.2336"
"000011","2018-12-31","2787240632.5300","0.1892"
"000011","2019-12-31","3961669942.4400","0.2246"
"000011","2020-12-31","4104374646.0200","0.2075"
"000011","2021-12-31","4491965643.7100","0.2374"
"000011","2022-12-31","3708669046.8500","0.1176"
"000012","2000-12-31","1116434358.1800","0.0929"
"000012","2001-12-31","1040998473.0000","0.0808"
"000012","2002-12-31","1055401736.0000","0.0916"
"000012","2003-12-31","1329818162.0000","0.1038"
"000012","2004-12-31","1881958592.0000","0.1583"
"000012","2005-12-31","2302016737.0000","0.1464"
"000012","2006-12-31","2951599066.0000","0.1463"
"000012","2007-12-31","4187962628.0000","0.1570"
"000012","2008-12-31","4273375853.0000","0.1100"
"000012","2009-12-31","5279100133.0000","0.1755"
"000012","2010-12-31","7743941694.0000","0.2582"
"000012","2011-12-31","8270731730.0000","0.1902"
"000012","2012-12-31","6994358029.0000","0.0507"
"000012","2013-12-31","7733796114.0000","0.2069"
"000012","2014-12-31","7044502645.0000","0.1010"
"000012","2015-12-31","7430889111.0000","0.0678"
"000012","2016-12-31","8974083407.0000","0.1020"
"000012","2017-12-31","10879400746.0000","0.0980"
"000012","2018-12-31","10609963011.0000","0.0518"
"000012","2019-12-31","10472028099.0000","0.0580"
"000012","2020-12-31","10671253445.0000","0.0793"
"000012","2021-12-31","13629033650.0000","0.1389"
"000012","2022-12-31","15198706998.0000","0.1619"
"000013","2000-12-31","819096831.8900","0.0882"
"000013","2001-12-31","724093611.1000",""
"000013","2002-12-31","614678141.2400",""
"000013","2003-12-31","",""
"000014","2000-12-31","78183624.5000","0.3747"
"000014","2001-12-31","465637320.4900","0.2749"
"000014","2002-12-31","475792792.2600","0.1700"
"000014","2003-12-31","295641364.7100","0.1217"
"000014","2004-12-31","495311472.0200","0.0998"
"000014","2005-12-31","438849918.7400","0.0960"
"000014","2006-12-31","334827465.6800","0.0789"
"000014","2007-12-31","185916192.6800","0.0047"
"000014","2008-12-31","312132092.2000","0.1098"
"000014","2009-12-31","693897549.1700","0.1816"
"000014","2010-12-31","735195751.4600","0.1481"
"000014","2011-12-31","399837689.4000","0.1111"
"000014","2012-12-31","421309533.9300","0.0536"
"000014","2013-12-31","563950315.7100","0.0543"
"000014","2014-12-31","511815321.4000","0.0905"
"000014","2015-12-31","413213720.9200","0.0714"
"000014","2016-12-31","620757228.9200","0.0371"
"000014","2017-12-31","513141023.3700","0.0138"
"000014","2018-12-31","357929318.7100","0.1766"
"000014","2019-12-31","438139662.6900","0.0337"
"000014","2020-12-31","346673403.1200","0.0096"
"000014","2021-12-31","641736448.8800","0.0503"
"000014","2022-12-31","763601802.3200","0.2242"
"000015","2000-12-31","103080753.8400",""
"000016","2000-12-31","9012732937.8900","0.0658"
"000016","2001-12-31","6748122042.3600","-0.1973"
"000016","2002-12-31","8041652825.3300","0.0146"
"000016","2003-12-31","12806466103.1300","0.0355"
"000016","2004-12-31","13362521889.7000","0.0477"
"000016","2005-12-31","11455891609.0600","0.0056"
"000016","2006-12-31","12656150985.5500","0.0314"
"000016","2007-12-31","12169078369.5000","0.0584"
"000016","2008-12-31","12205292227.5700","0.0710"
"000016","2009-12-31","13259033591.9500","0.0362"
"000016","2010-12-31","17111454066.3400","0.0243"
"000016","2011-12-31","16217619883.2300","0.0057"
"000016","2012-12-31","18337861657.2900","0.0107"
"000016","2013-12-31","20006736878.8200","0.0140"
"000016","2014-12-31","19423488994.0700","0.0141"
"000016","2015-12-31","18395177035.9800","-0.3461"
"000016","2016-12-31","20299348136.2100","0.0288"
"000016","2017-12-31","31227763249.7100","0.8834"
"000016","2018-12-31","46126797341.3300","0.0758"
"000016","2019-12-31","55119125478.7200","0.0346"
