"Markettype","Trddt","Dretmdeq"
"16","2016-02-25","-0.091031"
"1","2016-02-25","-0.084721"
"8","2016-02-26","0.002954"
"2","2016-02-26","0.016231"
"4","2016-02-26","-0.000019"
"16","2016-02-26","-0.017168"
"1","2016-02-26","0.004341"
"8","2016-02-29","-0.036677"
"2","2016-02-29","-0.045850"
"4","2016-02-29","-0.064952"
"16","2016-02-29","-0.086786"
"1","2016-02-29","-0.058757"
"8","2016-03-01","0.021350"
"2","2016-03-01","0.020012"
"4","2016-03-01","0.026983"
"16","2016-03-01","0.025196"
"1","2016-03-01","0.023633"
"8","2016-03-02","0.037280"
"2","2016-03-02","0.046073"
"4","2016-03-02","0.057618"
"16","2016-03-02","0.051797"
"1","2016-03-02","0.056605"
"8","2016-03-03","-0.003491"
"2","2016-03-03","-0.002273"
"4","2016-03-03","0.002866"
"16","2016-03-03","-0.002021"
"1","2016-03-03","0.004799"
"8","2016-03-04","-0.019436"
"2","2016-03-04","-0.016515"
"4","2016-03-04","-0.036534"
"16","2016-03-04","-0.061751"
"1","2016-03-04","-0.026672"
"8","2016-03-07","0.014461"
"2","2016-03-07","0.016094"
"4","2016-03-07","0.027377"
"16","2016-03-07","0.031684"
"1","2016-03-07","0.027001"
"8","2016-03-08","-0.005603"
"2","2016-03-08","0.000691"
"4","2016-03-08","0.008294"
"16","2016-03-08","0.022739"
"1","2016-03-08","0.003934"
"8","2016-03-09","-0.016379"
"2","2016-03-09","-0.016366"
"4","2016-03-09","-0.025489"
"16","2016-03-09","-0.017172"
"1","2016-03-09","-0.026367"
"8","2016-03-10","-0.012943"
"2","2016-03-10","-0.008024"
"4","2016-03-10","-0.018369"
"16","2016-03-10","-0.016993"
"1","2016-03-10","-0.018631"
"8","2016-03-11","-0.010703"
"2","2016-03-11","0.003290"
"4","2016-03-11","-0.002528"
"16","2016-03-11","0.004008"
"1","2016-03-11","-0.000410"
"8","2016-03-14","0.022285"
"2","2016-03-14","0.024994"
"4","2016-03-14","0.041511"
"16","2016-03-14","0.056298"
"1","2016-03-14","0.035012"
"8","2016-03-15","-0.004349"
"2","2016-03-15","-0.000572"
"4","2016-03-15","-0.008739"
"16","2016-03-15","-0.009028"
"1","2016-03-15","-0.005473"
"8","2016-03-16","-0.007795"
"2","2016-03-16","-0.013159"
"16","2016-03-16","-0.009798"
"4","2016-03-16","-0.010465"
"1","2016-03-16","-0.008771"
"8","2016-03-17","0.018739"
"2","2016-03-17","0.019955"
"16","2016-03-17","0.058332"
"4","2016-03-17","0.038555"
"1","2016-03-17","0.030143"
"8","2016-03-18","0.025077"
"2","2016-03-18","0.027543"
"16","2016-03-18","0.051203"
"4","2016-03-18","0.041756"
"1","2016-03-18","0.035635"
"8","2016-03-21","0.019040"
"2","2016-03-21","0.020182"
"16","2016-03-21","0.031203"
"4","2016-03-21","0.030691"
"1","2016-03-21","0.029168"
"8","2016-03-22","-0.003351"
"2","2016-03-22","-0.002773"
"16","2016-03-22","-0.000163"
"4","2016-03-22","-0.001722"
"1","2016-03-22","-0.003409"
"8","2016-03-23","0.002394"
"2","2016-03-23","0.005543"
"16","2016-03-23","0.019595"
"4","2016-03-23","0.012154"
"1","2016-03-23","0.008767"
"8","2016-03-24","-0.006398"
"2","2016-03-24","-0.011785"
"16","2016-03-24","-0.014294"
"4","2016-03-24","-0.015125"
"1","2016-03-24","-0.016466"
"8","2016-03-25","0.003003"
"2","2016-03-25","0.007227"
"16","2016-03-25","0.003914"
"4","2016-03-25","0.009481"
"1","2016-03-25","0.010872"
"8","2016-03-28","0.001393"
"2","2016-03-28","0.000378"
"16","2016-03-28","-0.008206"
"4","2016-03-28","-0.003901"
"1","2016-03-28","-0.005400"
"8","2016-03-29","-0.006664"
"2","2016-03-29","-0.011472"
"16","2016-03-29","-0.025612"
"4","2016-03-29","-0.022209"
"1","2016-03-29","-0.019302"
"8","2016-03-30","0.014976"
"2","2016-03-30","0.022072"
"16","2016-03-30","0.055897"
"4","2016-03-30","0.040988"
"1","2016-03-30","0.036114"
"8","2016-03-31","-0.003047"
"2","2016-03-31","0.001354"
"16","2016-03-31","0.007443"
"4","2016-03-31","0.005925"
"1","2016-03-31","0.004473"
"8","2016-04-01","-0.004488"
"2","2016-04-01","0.000593"
"16","2016-04-01","-0.008560"
"4","2016-04-01","-0.003286"
"1","2016-04-01","-0.001234"
"8","2016-04-05","0.009483"
"2","2016-04-05","0.011358"
"16","2016-04-05","0.038494"
"4","2016-04-05","0.031314"
"1","2016-04-05","0.027049"
"8","2016-04-06","-0.000488"
"2","2016-04-06","0.001810"
"16","2016-04-06","0.012970"
"4","2016-04-06","0.007093"
"1","2016-04-06","0.005131"
"8","2016-04-07","-0.004163"
"2","2016-04-07","-0.008237"
"16","2016-04-07","-0.019861"
"4","2016-04-07","-0.016321"
"1","2016-04-07","-0.015056"
"8","2016-04-08","-0.003871"
"2","2016-04-08","-0.010064"
"16","2016-04-08","-0.007047"
"4","2016-04-08","-0.008090"
"1","2016-04-08","-0.007719"
"8","2016-04-11","0.006723"
"2","2016-04-11","0.010568"
"16","2016-04-11","0.030246"
"4","2016-04-11","0.024763"
"1","2016-04-11","0.024506"
"8","2016-04-12","-0.004318"
"2","2016-04-12","-0.000609"
"16","2016-04-12","-0.014237"
"4","2016-04-12","-0.006810"
"1","2016-04-12","-0.003811"
"8","2016-04-13","0.009859"
"2","2016-04-13","0.008575"
"16","2016-04-13","0.019697"
"4","2016-04-13","0.015545"
"1","2016-04-13","0.015842"
"8","2016-04-14","0.004680"
"2","2016-04-14","0.004975"
"16","2016-04-14","0.017593"
"4","2016-04-14","0.014339"
"1","2016-04-14","0.012178"
"8","2016-04-15","0.000369"
"2","2016-04-15","-0.000414"
"16","2016-04-15","-0.000122"
"4","2016-04-15","0.001342"
"1","2016-04-15","0.001667"
"8","2016-04-18","-0.008073"
"2","2016-04-18","-0.012540"
"16","2016-04-18","-0.018614"
"4","2016-04-18","-0.013388"
"1","2016-04-18","-0.015810"
"8","2016-04-19","0.000239"
"2","2016-04-19","0.000789"
"16","2016-04-19","0.007308"
"4","2016-04-19","0.005397"
"1","2016-04-19","0.005115"
"8","2016-04-20","-0.017323"
"2","2016-04-20","-0.027510"
"16","2016-04-20","-0.062720"
"4","2016-04-20","-0.051519"
"1","2016-04-20","-0.045212"
"8","2016-04-21","-0.002230"
"2","2016-04-21","-0.005030"
"16","2016-04-21","-0.021791"
"4","2016-04-21","-0.012766"
"1","2016-04-21","-0.007905"
"8","2016-04-22","0.003942"
"2","2016-04-22","0.004510"
"16","2016-04-22","0.015140"
"4","2016-04-22","0.011965"
"1","2016-04-22","0.005641"
"8","2016-04-25","-0.004809"
"2","2016-04-25","-0.003423"
"16","2016-04-25","-0.005987"
"4","2016-04-25","-0.003408"
"1","2016-04-25","-0.003242"
"8","2016-04-26","0.000888"
"2","2016-04-26","0.006789"
"16","2016-04-26","0.020258"
"4","2016-04-26","0.014883"
"1","2016-04-26","0.012024"
"8","2016-04-27","-0.002416"
"2","2016-04-27","-0.000225"
"16","2016-04-27","-0.004019"
"4","2016-04-27","-0.002040"
"1","2016-04-27","-0.001249"
"8","2016-04-28","-0.003286"
"2","2016-04-28","-0.002166"
"16","2016-04-28","0.006926"
"4","2016-04-28","-0.003438"
"1","2016-04-28","-0.004849"
"8","2016-04-29","0.004771"
"2","2016-04-29","-0.001184"
