"Indexcd","Trddt","Clsindex"
"000001","2004-09-06","1321.465"
"000001","2004-09-07","1324.294"
"000001","2004-09-08","1309.333"
"000001","2004-09-09","1284.307"
"000001","2004-09-10","1287.081"
"000001","2004-09-13","1260.316"
"000001","2004-09-14","1300.357"
"000001","2004-09-15","1355.226"
"000001","2004-09-16","1371.201"
"000001","2004-09-17","1414.702"
"000001","2004-09-20","1463.221"
"000001","2004-09-21","1448.562"
"000001","2004-09-22","1420.148"
"000001","2004-09-23","1464.779"
"000001","2004-09-24","1435.563"
"000001","2004-09-27","1427.398"
"000001","2004-09-28","1435.589"
"000001","2004-09-29","1420.009"
"000001","2004-09-30","1396.700"
"000001","2004-10-08","1422.929"
"000001","2004-10-11","1413.154"
"000001","2004-10-12","1384.439"
"000001","2004-10-13","1386.721"
"000001","2004-10-14","1332.938"
"000001","2004-10-15","1330.518"
"000001","2004-10-18","1335.394"
"000001","2004-10-19","1337.618"
"000001","2004-10-20","1330.584"
"000001","2004-10-21","1310.545"
"000001","2004-10-22","1329.355"
"000001","2004-10-25","1311.151"
"000001","2004-10-26","1324.783"
"000001","2004-10-27","1342.799"
"000001","2004-10-28","1341.737"
"000001","2004-10-29","1320.536"
"000001","2004-11-01","1305.291"
"000001","2004-11-02","1301.528"
"000001","2004-11-03","1326.749"
"000001","2004-11-04","1304.776"
"000001","2004-11-05","1305.128"
"000001","2004-11-08","1304.229"
"000001","2004-11-09","1307.429"
"000001","2004-11-10","1354.386"
"000001","2004-11-11","1347.070"
"000001","2004-11-12","1352.217"
"000001","2004-11-15","1370.046"
"000001","2004-11-16","1370.389"
"000001","2004-11-17","1356.138"
"000001","2004-11-18","1367.828"
"000001","2004-11-19","1379.960"
"000001","2004-11-22","1383.020"
"000001","2004-11-23","1371.244"
"000001","2004-11-24","1359.125"
"000001","2004-11-25","1358.333"
"000001","2004-11-26","1356.727"
"000001","2004-11-29","1337.434"
"000001","2004-11-30","1340.771"
"000001","2004-12-01","1334.944"
"000001","2004-12-02","1333.090"
"000001","2004-12-03","1337.197"
"000001","2004-12-06","1339.644"
"000001","2004-12-07","1323.752"
"000001","2004-12-08","1326.438"
"000001","2004-12-09","1338.810"
"000001","2004-12-10","1317.717"
"000001","2004-12-13","1309.695"
"000001","2004-12-14","1307.553"
"000001","2004-12-15","1313.045"
"000001","2004-12-16","1305.018"
"000001","2004-12-17","1290.490"
"000001","2004-12-20","1275.459"
"000001","2004-12-21","1275.170"
"000001","2004-12-22","1307.570"
"000001","2004-12-23","1282.719"
"000001","2004-12-24","1285.036"
"000001","2004-12-27","1280.272"
"000001","2004-12-28","1278.943"
"000001","2004-12-29","1274.313"
"000001","2004-12-30","1273.709"
"000001","2004-12-31","1266.496"
"000001","2005-01-04","1242.774"
"000001","2005-01-05","1251.937"
"000001","2005-01-06","1239.430"
"000001","2005-01-07","1244.746"
"000001","2005-01-10","1252.401"
"000001","2005-01-11","1257.462"
"000001","2005-01-12","1256.923"
"000001","2005-01-13","1256.314"
"000001","2005-01-14","1245.620"
"000001","2005-01-17","1216.652"
"000001","2005-01-18","1225.454"
"000001","2005-01-19","1218.108"
"000001","2005-01-20","1204.394"
"000001","2005-01-21","1234.476"
"000001","2005-01-24","1255.777"
"000001","2005-01-25","1254.234"
"000001","2005-01-26","1241.958"
"000001","2005-01-27","1225.891"
"000001","2005-01-28","1213.673"
"000001","2005-01-31","1191.823"
"000001","2005-02-01","1188.930"
"000001","2005-02-02","1252.500"
"000001","2005-02-03","1242.307"
"000001","2005-02-04","1269.004"
"000001","2005-02-16","1278.880"
"000001","2005-02-17","1276.134"
"000001","2005-02-18","1258.969"
"000001","2005-02-21","1284.480"
"000001","2005-02-22","1309.277"
"000001","2005-02-23","1309.475"
"000001","2005-02-24","1309.949"
"000001","2005-02-25","1312.445"
"000001","2005-02-28","1306.003"
"000001","2005-03-01","1303.412"
"000001","2005-03-02","1287.450"
"000001","2005-03-03","1294.339"
"000001","2005-03-04","1287.714"
"000001","2005-03-07","1293.739"
"000001","2005-03-08","1318.271"
"000001","2005-03-09","1316.791"
"000001","2005-03-10","1286.233"
"000001","2005-03-11","1289.941"
"000001","2005-03-14","1293.500"
"000001","2005-03-15","1269.144"
"000001","2005-03-16","1255.589"
"000001","2005-03-17","1243.475"
"000001","2005-03-18","1227.403"
"000001","2005-03-21","1231.046"
"000001","2005-03-22","1206.922"
"000001","2005-03-23","1201.649"
"000001","2005-03-24","1208.192"
"000001","2005-03-25","1205.634"
"000001","2005-03-28","1200.113"
"000001","2005-03-29","1195.018"
"000001","2005-03-30","1172.574"
"000001","2005-03-31","1181.236"
"000001","2005-04-01","1223.566"
"000001","2005-04-04","1202.967"
"000001","2005-04-05","1191.745"
"000001","2005-04-06","1214.868"
"000001","2005-04-07","1225.487"
"000001","2005-04-08","1248.521"
"000001","2005-04-11","1240.972"
"000001","2005-04-12","1219.511"
"000001","2005-04-13","1248.203"
"000001","2005-04-14","1234.332"
"000001","2005-04-15","1216.962"
"000001","2005-04-18","1197.735"
"000001","2005-04-19","1199.902"
"000001","2005-04-20","1184.193"
"000001","2005-04-21","1172.556"
"000001","2005-04-22","1169.187"
"000001","2005-04-25","1157.971"
"000001","2005-04-26","1165.335"
"000001","2005-04-27","1148.757"
"000001","2005-04-28","1169.118"
"000001","2005-04-29","1159.146"
"000001","2005-05-09","1130.835"
"000001","2005-05-10","1135.561"
"000001","2005-05-11","1124.271"
"000001","2005-05-12","1103.993"
"000001","2005-05-13","1107.627"
"000001","2005-05-16","1095.468"
"000001","2005-05-17","1099.640"
"000001","2005-05-18","1102.965"
"000001","2005-05-19","1103.475"
"000001","2005-05-20","1099.269"
"000001","2005-05-23","1070.844"
"000001","2005-05-24","1073.847"
"000001","2005-05-25","1072.137"
"000001","2005-05-26","1058.867"
"000001","2005-05-27","1051.946"
"000001","2005-05-30","1060.162"
"000001","2005-05-31","1060.738"
"000001","2005-06-01","1039.187"
"000001","2005-06-02","1016.063"
"000001","2005-06-03","1013.637"
"000001","2005-06-06","1034.378"
"000001","2005-06-07","1030.941"
"000001","2005-06-08","1115.582"
"000001","2005-06-09","1131.052"
"000001","2005-06-10","1108.286"
"000001","2005-06-13","1106.291"
"000001","2005-06-14","1093.464"
"000001","2005-06-15","1072.836"
"000001","2005-06-16","1086.010"
"000001","2005-06-17","1085.610"
"000001","2005-06-20","1115.620"
"000001","2005-06-21","1101.486"
"000001","2005-06-22","1102.033"
"000001","2005-06-23","1093.702"
"000001","2005-06-24","1101.882"
"000001","2005-06-27","1124.640"
"000001","2005-06-28","1108.588"
"000001","2005-06-29","1104.992"
"000001","2005-06-30","1080.938"
"000001","2005-07-01","1055.594"
"000001","2005-07-04","1047.278"
"000001","2005-07-05","1039.043"
"000001","2005-07-06","1033.545"
"000001","2005-07-07","1038.597"
"000001","2005-07-08","1017.983"
"000001","2005-07-11","1011.499"
"000001","2005-07-12","1046.161"
"000001","2005-07-13","1037.394"
"000001","2005-07-14","1040.416"
"000001","2005-07-15","1026.115"
"000001","2005-07-18","1012.097"
"000001","2005-07-19","1014.355"
"000001","2005-07-20","1021.052"
"000001","2005-07-21","1020.632"
"000001","2005-07-22","1046.321"
"000001","2005-07-25","1045.400"
"000001","2005-07-26","1072.807"
"000001","2005-07-27","1089.909"
"000001","2005-07-28","1086.548"
"000001","2005-07-29","1083.033"
"000001","2005-08-01","1088.948"
"000001","2005-08-02","1104.038"
"000001","2005-08-03","1107.699"
"000001","2005-08-04","1102.589"
"000001","2005-08-05","1128.743"
"000001","2005-08-08","1138.882"
"000001","2005-08-09","1152.534"
"000001","2005-08-10","1165.033"
"000001","2005-08-11","1183.579"
"000001","2005-08-12","1167.915"
"000001","2005-08-15","1187.006"
"000001","2005-08-16","1177.278"
"000001","2005-08-17","1192.834"
"000001","2005-08-18","1148.035"
"000001","2005-08-19","1150.184"
"000001","2005-08-22","1158.597"
"000001","2005-08-23","1149.957"
"000001","2005-08-24","1167.137"
"000001","2005-08-25","1172.475"
"000001","2005-08-26","1171.860"
